#id;image_id;count;k_value;score;std_dev
5339;1588;50;8;1191.0867095209974;1.4251962429184555
5340;12303;50;8;1191.1583868315881;1.56346866547397
5341;10606;50;8;1191.1764343457387;0.9791060097359927
5342;11951;50;8;1191.1852173823295;1.821806219682365
5343;7607;50;8;1191.283477784365;1.4737347680013848
5344;11996;50;8;1191.3425749440244;1.493144267425937
5345;6229;50;8;1191.360795143816;2.865654616721728
5346;6159;50;8;1191.3703169379226;1.2738750074841598
5347;1372;50;8;1191.3768439727382;1.5480500710253187
5348;125;50;8;1191.3943396105415;1.4056265897312825
5349;1811;50;8;1191.3947251423508;1.976403272942893
5350;11971;50;8;1191.3962893756627;3.390168690277194
5351;7699;50;8;1191.435375796257;1.2750150299098928
5352;11961;50;8;1191.4478020965619;1.5368841536592932
5353;12;50;8;1191.4503185113335;1.4734048594951656
5354;586;50;8;1191.4591943792234;1.121086108818732
5355;11382;50;8;1191.4722665797851;1.5410331627365343
5356;1777;50;8;1191.4729440685098;2.607877954578188
5357;9683;50;8;1191.497933542403;1.5020809626720433
5358;3056;50;8;1191.5045941093872;3.9546367554335773
5359;4593;50;8;1191.5220284648603;1.2255707321654248
5360;12824;50;8;1191.5632512282787;1.192184161952822
5361;11984;50;8;1191.58544498217;1.9016593229641074
5362;5609;51;8;1191.6425502172242;2.8400809423940734
5363;11484;50;8;1191.6465054249604;1.5049318060303596
5364;12799;50;8;1191.6568642399782;1.0902303786236587
5365;406;50;8;1191.7494582819068;1.7476606558644185
5366;661;50;8;1191.759708779906;1.5458330118519978
5367;984;50;8;1191.7712731337895;2.2211565809261584
5368;4566;50;8;1191.8265462129248;1.2501760138376545
5369;1239;50;8;1191.8300542478328;2.6167972707281173
5370;652;50;8;1191.8506830239182;0.9122664354277414
5371;11343;50;8;1191.894345882757;2.5344970920552745
5372;5009;50;8;1191.902539024725;2.567668390496151
5373;7793;50;8;1191.902794803058;2.0767420818618487
5374;11874;50;8;1191.915148691425;1.6425333598268002
5375;7978;50;8;1191.9158215011494;1.4337728464088069
5376;6369;50;8;1191.9267194112283;1.3359210006564657
5377;7363;50;8;1191.9294403956208;1.8348544580122665
5378;12102;51;8;1191.931507208297;2.0867529298510377
5379;9101;50;8;1191.9450752020543;1.2506865700123946
5380;6321;50;8;1192.0008486381612;1.164817820640681
5381;5911;50;8;1192.0174352418471;1.3183748461975937
5382;7676;50;8;1192.0616607460136;2.542119965369591
5383;2054;50;8;1192.0710340236292;1.5268155149105143
5384;3758;50;8;1192.0716238998225;2.272272965323739
5385;10208;50;8;1192.074117527727;1.0043369295598896
5386;6318;50;8;1192.1708331192713;2.1193099638016433
5387;6724;50;8;1192.201160459326;1.2651452123973872
5388;12746;50;8;1192.2267584459748;1.6518256323199678
5389;1469;50;8;1192.2449352927201;1.1855477617431398
5390;8199;50;8;1192.2982150699902;1.9304419884815052
5391;8273;50;8;1192.3064163280217;1.3985913978070748
5392;8907;50;8;1192.3889151835;2.005353902150836
5393;8242;50;8;1192.3997512926223;2.6448779456607157
5394;486;50;8;1192.4372028664695;0.8258863267507452
5395;1152;50;8;1192.443101956582;1.240259701813247
5396;2495;50;8;1192.4633353515767;1.4468186628521937
5397;4203;50;8;1192.4877029583204;2.0666776107825116
5398;6472;50;8;1192.4981344593032;1.6389050835101955
5399;6267;51;8;1192.5097179381828;2.632741298750785
5400;9018;50;8;1192.5154041824749;1.4670064236943376
5401;1824;50;8;1192.5274210021694;1.3597234667401024
5402;505;51;8;1192.5527694341295;2.2705910259895337
5403;10407;50;8;1192.5945586531495;2.5469921644497098
5404;194;50;8;1192.6101788221406;2.528287700272876
5405;6319;50;8;1192.63605731092;1.1633563660961503
5406;1214;50;8;1192.644443062293;1.1085146817908433
5407;6643;50;8;1192.6461731874267;0.9610437658811652
5408;638;50;8;1192.6742948648987;1.0168645605126163
5409;898;50;8;1192.688560291563;2.2437761894921007
5410;2032;50;8;1192.6986213879186;3.5105174058283932
5411;1571;50;8;1192.7066912902853;2.7684084493764147
5412;4611;50;8;1192.7101798388671;1.0948885241384132
5413;6960;50;8;1192.7174511368862;1.8251763250833277
5414;8865;50;8;1192.7485184614877;2.2347638595091803
5415;6858;50;8;1192.8111259171383;1.9850011960827765
5416;11781;50;8;1192.8112087458553;1.9627554439284192
5417;9372;50;8;1192.8119020322945;2.9429846854348267
5418;1360;50;8;1192.8492332675114;1.7021329166363475
5419;5552;50;8;1192.8534558483168;2.976564822651831
5420;9607;50;8;1192.8684612323577;1.5474410905147848
5421;1340;50;8;1192.8957608685878;1.4857531735206657
5422;12148;50;8;1192.912609605863;1.308934497049474
5423;7914;50;8;1192.9382460241777;1.5496456547469066
5424;11811;50;8;1193.005572159066;1.7741107929684528
5425;198;50;8;1193.0083738931787;1.9828373115085614
5426;5840;50;8;1193.0814761760812;1.1798788855274798
5427;6661;50;8;1193.164888972305;1.2512987690345752
5428;4607;50;8;1193.1895078986815;1.81169616819692
5429;4053;50;8;1193.2266730770912;1.4971080345124266
5430;11761;50;8;1193.2314652452458;0.9025649759375585
5431;7731;50;8;1193.2700276515916;1.4170468142602712
5432;10062;50;8;1193.2888487116327;1.7516343624634358
5433;9822;50;8;1193.3546984828877;1.6590280352215534
5434;9304;50;8;1193.3896325841313;2.3646287930974137
5435;6367;50;8;1193.393985239369;1.0845435931578276
5436;965;50;8;1193.4121742642265;1.9259013420019635
5437;6093;50;8;1193.4433838366065;2.026578702619032
5438;12887;50;8;1193.4604476711188;1.2106973918238666
